H_bin    , Gene , Feature       , Region    , Orientation, Step, Pearson_r            , P_value                , CI_low                , CI_high               , N_windows, Sliding_file                                                      , P_Bonferroni           , Reject_Bonferroni, P_Holm                 , Reject_Holm, P_FDR_BH               , Reject_FDR_BH
0.50-0.56, ASH1L, OTHER_GENIC   , full      , genomic    ,   10, -0.16226019130798908 , 1.3400050615534553e-129, -0.17510187371787328  , -0.14936330927459723  ,     21990, sliding_ASH1L_OTHER_GENIC_win10k_step10_full_genomic.csv          , 4.50241700681961e-127  , True             , 2.8274106798777906e-127, True       , 3.5733468308092143e-129, True
0.50-0.56, ASH1L, OTHER_GENIC   , full      , reversed   ,   10, 0.12862873247560838  , 9.152240971434908e-82  , 0.11560806862370827   , 0.14160519826810494   ,     21990, sliding_ASH1L_OTHER_GENIC_win10k_step10_full_reversed.csv         , 3.075152966402129e-79  , True             , 1.5833376880582392e-79 , True       , 1.8750932721964203e-81 , True
0.50-0.56, ASH1L, OTHER_GENIC   , winTrim500, genomic    ,   10, -0.14700207069048088 , 1.7927647760077303e-106, -0.15990858576941736  , -0.13404530435928433  ,     21990, sliding_ASH1L_OTHER_GENIC_win10k_step10_winTrim500_genomic.csv    , 6.023689647385974e-104 , True             , 3.603457199775538e-104 , True       , 4.429183564254393e-106 , True
0.50-0.56, ASH1L, OTHER_GENIC   , winTrim500, reversed   ,   10, 0.13821302779872446  , 3.1462073701866555e-94 , 0.1252245762520056    , 0.15115411151154065   ,     21990, sliding_ASH1L_OTHER_GENIC_win10k_step10_winTrim500_reversed.csv   , 1.0571256763827162e-91 , True             , 5.9777940033546454e-92 , True       , 7.191331131855213e-94  , True
0.50-0.56, ASH1L, PROMOTER      , full      , genomic    ,   10, -0.035683954760922565, 1.203472774359355e-07  , -0.048878112411490975 , -0.0224773453906476   ,     21990, sliding_ASH1L_PROMOTER_win10k_step10_full_genomic.csv             , 4.0436685218474325e-05 , True             , 7.702225755899872e-06  , True       , 1.4811972607499753e-07 , True
0.50-0.56, ASH1L, PROMOTER      , full      , reversed   ,   10, -0.13936953635340457 , 8.536786275935595e-96  , -0.15230618734027573  , -0.1263851368080123   ,     21990, sliding_ASH1L_PROMOTER_win10k_step10_full_reversed.csv            , 2.86836018871436e-93   , True             , 1.6305261787036988e-93 , True       , 1.9646302662427123e-95 , True
0.50-0.56, ASH1L, PROMOTER      , winTrim500, genomic    ,   10, -0.04508469665949391 , 2.252509036056527e-11  , -0.058267186234961486 , -0.031886486985413506 ,     21990, sliding_ASH1L_PROMOTER_win10k_step10_winTrim500_genomic.csv       , 7.56843036114993e-09   , True             , 1.509181054157873e-09  , True       , 2.803122355981456e-11  , True
0.50-0.56, ASH1L, PROMOTER      , winTrim500, reversed   ,   10, -0.12212907626912448 , 7.765598355952993e-74  , -0.13512816225405458  , -0.10908795603420554  ,     21990, sliding_ASH1L_PROMOTER_win10k_step10_winTrim500_reversed.csv      , 2.6092410476002056e-71 , True             , 1.2890893270881968e-71 , True       , 1.525871957660939e-73  , True
0.50-0.56, ASH1L, REG_ALL       , full      , genomic    ,   10, 0.2413388906138064   , 6.672474477850193e-289 , 0.22885167722372618   , 0.2537466932109095    ,     21990, sliding_ASH1L_REG_ALL_win10k_step10_full_genomic.csv              , 2.241951424557665e-286 , True             , 1.7748782111081514e-286, True       , 3.1576780627572746e-288, True
0.50-0.56, ASH1L, REG_ALL       , full      , reversed   ,   10, -0.22194620007803167 , 1.5656331446398971e-243, -0.23447557434990557  , -0.20934309944783114  ,     21990, sliding_ASH1L_REG_ALL_win10k_step10_full_reversed.csv             , 5.260527365990054e-241 , True             , 3.835801204367748e-241 , True       , 5.717964528250058e-243 , True
